competitor_id,name,country,country_code,abbreviation
43761,"Collarini, Andrea",Argentina,ARG,COL
182086,"Bass, Finn",Great Britain,GBR,BAS
976405,"Taguchi, Ryotaro",Japan,JPN,TAG
215492,"Cui, Jie",China,CHN,CUI
620338,"Sharipov, Marat",Neutral,,SHA
76251,"Bobrov, Bogdan",Neutral,,BOB
240876,"Crawford, Oliver",Great Britain,GBR,CRA
156826,"van Wyk, Kris",South Africa,ZAF,VAN
57021,"Kovalik, Jozef",Slovakia,SVK,KOV
298118,"Summers, Matthew",Great Britain,GBR,SUM
64790,"Kalovelonis, Markos",Greece,GRC,KAL
208123,"Maginley, Jody",Antigua and Barbuda,ATG,MAG
763108,"Mensik, Jakub",Czechia,CZE,MEN
339377,"Lehecka, Jiri",Czechia,CZE,LEH
294300,"Nakashima, Brandon",USA,USA,NAK
185388,"Humbert, Ugo",France,FRA,HUM
287543,"Hulme, Matt",Australia,AUS,HUL
435758,"Vanshelboim, Eric",Ukraine,UKR,VAN
565070,"Monday, Johannus",Great Britain,GBR,MON
785974,"La Serna, Juan Manuel",Argentina,ARG,LA
272245,"Latinovic, Stefan",Serbia,SRB,LAT
205773,"Sanchez Jover, Carlos",Spain,ESP,SAN
229024,"Zahraj, Patrick",Germany,DEU,ZAH
93589,"Kellovsky, Dominik",Czechia,CZE,KEL
63606,"Rinderknech, Arthur",France,FRA,RIN
65606,"Agamenone, Franco",Italy,ITA,AGA
644676,"Milev, Yanaki",Bulgaria,BGR,MIL
138528,"Mejia, Nicolas",Colombia,COL,MEJ
359608,"Maestrelli, Francesco",Italy,ITA,MAE
16781,"Sharan, Divij",India,IND,SHA
321667,"Mayot, Harold",France,FRA,MAY
50901,"Popko, Dmitry",Kazakhstan,KAZ,POP
307112,"Erel, Yanki",Turkiye,TUR,ERE
439474,"Jermar, Jan",Czechia,CZE,JER
873679,"Bondioli, Federico",Italy,ITA,BON
405969,"Paulson, Andrew",Czechia,CZE,PAU
63642,"Kwiatkowski, Thai-Son",USA,USA,KWI
833418,"Del Pino, Mateo",Argentina,ARG,DEL
57759,"Oliveira, Gonzalo",Venezuela,VEN,OLI
215778,"Izquierdo Luque, Rafael",Spain,ESP,IZQ
202681,"Marrero Curbelo, Ivan",Spain,ESP,MAR
119126,"Taylor, Adam (1991)",Australia,AUS,TAY
163636,"Klein, Lukas",Slovakia,SVK,KLE
39726,"Kubler, Jason",Australia,AUS,KUB
119248,"Ruud, Casper",Norway,NOR,RUU
161262,"Seyboth Wild, Thiago",Brazil,BRA,SEY
54573,"Coria, Federico",Argentina,ARG,COR
144102,"Weis, Alexander",Italy,ITA,WEI
345060,"Kingsley, Cannon",USA,USA,KIN
447733,"Hands, Tom",Great Britain,GBR,HAN
951223,"Sanchez Quilez, Alejo",Spain,ESP,SAN
242556,"McHugh, Aidan",Great Britain,GBR,MCH
524256,"Beckley, Alec",South Africa,ZAF,BEC
418163,"Perfetti, Noah",Italy,ITA,PER
210502,"Kopp, Sandro",Austria,AUT,KOP
96239,"Durasovic, Viktor",Norway,NOR,DUR
210592,"Ribeiro, Eduardo",Brazil,BRA,RIB
54975,"Casanova, Hernan",Argentina,ARG,CAS
177686,"Barranco Cosano, Javier",Spain,ESP,BAR
186629,"Kirkin, Ergi",Turkiye,TUR,KIR
282183,"Rottoli, Lorenzo",Italy,ITA,ROT
104967,"Brouwer, Gijs",Netherlands,NLD,BRO
58783,"Song, Min-Kyu",Republic of Korea,KOR,SON
213170,"Blanchet, Ugo",France,FRA,BLA
15743,"Istomin, Denis",Uzbekistan,UZB,IST
180446,"Wessels, Louis",Germany,DEU,WES
301896,"Ovcharenko, Oleksandr",Ukraine,UKR,OVC
65992,"Paz, Juan Pablo",Argentina,ARG,PAZ
60592,"Lee, Jeamoon",Republic of Korea,KOR,LEE
111837,"Harris, Billy",Great Britain,GBR,HAR
